id_denue,nombre_establecimiento,codigo_scian,personas_ocupadas,municipio,tipo_unidad_economica,sector_scian,tipo_actividad
25611,TENABRI S DE RL DE CV,111216,0 a 5 personas,Aguascalientes,Fijo,Primario,Cultivo de frutas / vegetales
6875974,DURAZNOS MONTE REAL,111339,31 a 50 personas,Aguascalientes,Fijo,Primario,Cultivo de frutas / vegetales
6886730,INVERNADEROS MESA GRANDE,111411,251 y más personas,Calvillo,Fijo,Primario,Cultivo de frutas / vegetales
6166235,POTRERO DE SAN ANTONIO,112512,0 a 5 personas,Aguascalientes,Fijo,Primario,Piscicultura / acuicultura
6166248,CENTRO ACUÍCOLA PABELLON DE HIDALGO,112512,6 a 10 personas,Rincón de Romos,Fijo,Primario,Piscicultura / acuicultura
6280911,LA HUERTA,311411,251 y más personas,Jesús María,Fijo,Secundario,Industria alimentaria
35082,EMPACADORA CRISTONEGRO,311423,0 a 5 personas,Aguascalientes,Fijo,Secundario,Industria alimentaria
35672,VENTA DE MOLE EN POLVO SIN NOMBRE,311423,0 a 5 personas,Aguascalientes,Fijo,Secundario,Industria alimentaria
49755,"EMPACADORA EL CENTENARIO, S.A. DE C.V.",311613,0 a 5 personas,Jesús María,Fijo,Secundario,Industria alimentaria
49779,CHICHARONERA LOS AZULEJOS,311614,0 a 5 personas,Jesús María,Fijo,Secundario,Industria alimentaria
569,PANADERÍA DON EMILIANO,311812,6 a 10 personas,Calvillo,Fijo,Secundario,Panificación tradicional / Elaboración de galletas y pastas para sopa 
16469,PASTELERÍA SAN ÁNGEL,311812,0 a 5 personas,Aguascalientes,Fijo,Secundario,Panificación tradicional / Elaboración de galletas y pastas para sopa 
20089,INTEGRALES VIVA MÁS,311820,11 a 30 personas,Aguascalientes,Fijo,Secundario,Panificación tradicional / Elaboración de galletas y pastas para sopa 
551,TORTILLERÍA LA PLANTA,311830,0 a 5 personas,Calvillo,Fijo,Secundario,Elaboración de tortillas de maíz y molienda de nixtamal
1356,MOLINO Y TORTILLERÍA SANTA TERESITA,311830,0 a 5 personas,Aguascalientes,Fijo,Secundario,Elaboración de tortillas de maíz y molienda de nixtamal
41438,TORTILLERÍA EL ANDADOR,311830,0 a 5 personas,Calvillo,Fijo,Secundario,Elaboración de tortillas de maíz y molienda de nixtamal
6758020,VINÍCOLA SANTA ELENA DE AGUASCALIENTES SA DE CV,312131,11 a 30 personas,Pabellón de Arteaga,Fijo,Secundario,Bebidas
34012,GONVI PROCESADORA Y COMERCIALIZADORA DE CARNES Y VISCERAS,431121,0 a 5 personas,Aguascalientes,Fijo,Terciario,Comercio al por mayor de carnes
6281495,LA GRANJA DE MANOLO,431121,11 a 30 personas,Aguascalientes,Fijo,Terciario,Comercio al por mayor de carnes
6281404,PRODUCTORA AVICOLA DEL CENTRO,431122,6 a 10 personas,Aguascalientes,Fijo,Terciario,Comercio al por mayor de carnes
9016,FRUTAS Y LEGUMBRES SIN NOMBRE,431130,0 a 5 personas,Aguascalientes,Fijo,Terciario,Comercio al por mayor de frutas y verduras frescas
11999,COMERCIO AL POR MAYOR DE FRUTAS Y VERDURAS FRESCAS,431130,0 a 5 personas,Aguascalientes,Fijo,Terciario,Comercio al por mayor de frutas y verduras frescas
49786,CHARLIS FRUIT,431130,6 a 10 personas,Jesús María,Fijo,Terciario,Comercio al por mayor de frutas y verduras frescas
6282383,CASA RENTERIA,431130,0 a 5 personas,Aguascalientes,Fijo,Terciario,Comercio al por mayor de frutas y verduras frescas
12227,ESPECIAS MOY,431150,0 a 5 personas,Aguascalientes,Fijo,Terciario,"Comercio al por mayor de semillas y granos alimenticios, especias, chiles secos, leche y otros productos lácteos "
12241,BODEGA SAN JUAN,431150,0 a 5 personas,Aguascalientes,Fijo,Terciario,"Comercio al por mayor de semillas y granos alimenticios, especias, chiles secos, leche y otros productos lácteos "
12283,CREMERIA DE ALBA AGROPECUARIO S DE RL DE CV,431160,11 a 30 personas,Aguascalientes,Fijo,Terciario,"Comercio al por mayor de semillas y granos alimenticios, especias, chiles secos, leche y otros productos lácteos "
6281620,LECHE 19 DIECINUEVE HERMANOS SA DE CV,431160,31 a 50 personas,Aguascalientes,Fijo,Terciario,"Comercio al por mayor de semillas y granos alimenticios, especias, chiles secos, leche y otros productos lácteos "
8974,CARNES TEPEYAC,461121,31 a 50 personas,Aguascalientes,Fijo,Terciario,Comercio al por menor de carnes rojas / aves 
13473,CARNICERÍA NAJERA,461121,0 a 5 personas,Aguascalientes,Fijo,Terciario,Comercio al por menor de carnes rojas / aves 
14490,CARNICERÍA EL 4,461121,0 a 5 personas,Aguascalientes,Fijo,Terciario,Comercio al por menor de carnes rojas / aves 
18290,CARNICERÍA LA MINGA,461121,0 a 5 personas,Aguascalientes,Fijo,Terciario,Comercio al por menor de carnes rojas / aves 
20562,OBRADOR SAN FERNANDO,461121,0 a 5 personas,Aguascalientes,Fijo,Terciario,Comercio al por menor de carnes rojas / aves 
25805,CARNES SUPREMA EL RECREO,461121,6 a 10 personas,Aguascalientes,Fijo,Terciario,Comercio al por menor de carnes rojas / aves 
51653,VÍSCERAS DON JUAN,461121,0 a 5 personas,Aguascalientes,Fijo,Terciario,Comercio al por menor de carnes rojas / aves 
51657,CARNICERÍA LALO,461121,0 a 5 personas,Aguascalientes,Fijo,Terciario,Comercio al por menor de carnes rojas / aves 
6709385,OBRADOR VIÑEDOS,461121,0 a 5 personas,Jesús María,Fijo,Terciario,Comercio al por menor de carnes rojas / aves 
6394,EL POLLO GRIEGO,461122,0 a 5 personas,Aguascalientes,Fijo,Terciario,Comercio al por menor de carnes rojas / aves 
9480,SUPER POLLERIAS KILO POLLO,461122,0 a 5 personas,Aguascalientes,Fijo,Terciario,Comercio al por menor de carnes rojas / aves 
14501,POLLERÍA MARTÍNEZ,461122,0 a 5 personas,Aguascalientes,Fijo,Terciario,Comercio al por menor de carnes rojas / aves 
20185,POLLERÍA EL GALLO DE ORO,461122,0 a 5 personas,Aguascalientes,Semifijo,Terciario,Comercio al por menor de carnes rojas / aves 
24392,POLLERÍA LA PRINCIPAL,461122,6 a 10 personas,Aguascalientes,Fijo,Terciario,Comercio al por menor de carnes rojas / aves 
34097,POLLERÍA POLLOS TALIVAN,461122,0 a 5 personas,Aguascalientes,Fijo,Terciario,Comercio al por menor de carnes rojas / aves 
34165,POLLERÍA ARA,461122,0 a 5 personas,Aguascalientes,Fijo,Terciario,Comercio al por menor de carnes rojas / aves 
36357,POLLERÍA EL GÜUERO,461122,0 a 5 personas,Aguascalientes,Fijo,Terciario,Comercio al por menor de carnes rojas / aves 
12247,ATLÁNTICO,461123,0 a 5 personas,Aguascalientes,Fijo,Terciario,Comercio al por menor de pescados y mariscos
19033,PESCADERÍA PUERTO VALLARTA,461123,0 a 5 personas,Aguascalientes,Fijo,Terciario,Comercio al por menor de pescados y mariscos
29226,ACUÍCOLA SANTA ROSA,461123,0 a 5 personas,Aguascalientes,Fijo,Terciario,Comercio al por menor de pescados y mariscos
34261,MEAT & FISH,461123,0 a 5 personas,Aguascalientes,Fijo,Terciario,Comercio al por menor de pescados y mariscos
8249,FRUTAS FINAS VALENCIANO,461130,0 a 5 personas,Aguascalientes,Fijo,Terciario,Comercio al por menor de frutas y verduras frescas
9000,FRUTERÍA PÉREZ,461130,0 a 5 personas,Aguascalientes,Fijo,Terciario,Comercio al por menor de frutas y verduras frescas
9015,FRUTAS Y VERDURAS SG,461130,0 a 5 personas,Aguascalientes,Fijo,Terciario,Comercio al por menor de frutas y verduras frescas
9468,FRUTERÍA DON BOSCO,461130,0 a 5 personas,Aguascalientes,Fijo,Terciario,Comercio al por menor de frutas y verduras frescas
14502,FRUTERÍA EL CALÍ,461130,0 a 5 personas,Aguascalientes,Fijo,Terciario,Comercio al por menor de frutas y verduras frescas
16543,FRUTERÍA Y VERDULERÍA LA GÜERA,461130,0 a 5 personas,Aguascalientes,Fijo,Terciario,Comercio al por menor de frutas y verduras frescas
20163,PUESTO DE VERDURA SIN NOMBRE,461130,0 a 5 personas,Aguascalientes,Fijo,Terciario,Comercio al por menor de frutas y verduras frescas
34567,FRUTERÍA LOS COMPADRES,461130,0 a 5 personas,Aguascalientes,Fijo,Terciario,Comercio al por menor de frutas y verduras frescas
41280,FRUTERÍA CALIFORNIA,461130,0 a 5 personas,Aguascalientes,Fijo,Terciario,Comercio al por menor de frutas y verduras frescas
51662,FRUTAS Y VERDURAS Y LEGUMBRES,461130,0 a 5 personas,Aguascalientes,Fijo,Terciario,Comercio al por menor de frutas y verduras frescas
8292,SEMILLAS Y CEREALES GARCÍA,461140,0 a 5 personas,Aguascalientes,Fijo,Terciario,"Comercio al por menor de semillas y granos alimenticios, especias y chiles secos"
40243,SEMILLAS Y CEREALES LA HORMIGUITA,461140,0 a 5 personas,Aguascalientes,Fijo,Terciario,"Comercio al por menor de semillas y granos alimenticios, especias y chiles secos"
4510,CREMERÍA LAS FLORES,461150,6 a 10 personas,Aguascalientes,Fijo,Terciario,"Comercio al por menor de leche, otros productos lácteos y embutidos"
36324,CREMERIA NUEVA TERAN,461150,11 a 30 personas,Aguascalientes,Fijo,Terciario,"Comercio al por menor de leche, otros productos lácteos y embutidos"
12291,EMPACADORA SAN FRANCISCO,461190,0 a 5 personas,Aguascalientes,Fijo,Terciario,Comercio al por menor de otros alimentos
14297,PANADERÍA JARDINES,461190,0 a 5 personas,Aguascalientes,Fijo,Terciario,Comercio al por menor de otros alimentos
52082,PASTELERÍA MARIANETT,461190,0 a 5 personas,Aguascalientes,Fijo,Terciario,Comercio al por menor de otros alimentos
6281950,CHEDRAUI AGUASCALIENTES ASUNCIÓN,462111,101 a 250 personas,Aguascalientes,Fijo,Terciario,Comercio al por menor en supermercados
6282322,BODEGA SANTA ANITA 3905,462111,101 a 250 personas,Aguascalientes,Fijo,Terciario,Comercio al por menor en supermercados
6311718,BA EXPRESS FRACC DEL VALLE 5409,462111,11 a 30 personas,Aguascalientes,Fijo,Terciario,Comercio al por menor en supermercados
6790694,SUPERCENTER AGUASCALIENTES ORIENTE 2271,462111,51 a 100 personas,Aguascalientes,Fijo,Terciario,Comercio al por menor en supermercados
5762,SÚPER MARKET LAS FUENTES,462112,11 a 30 personas,Aguascalientes,Fijo,Terciario,Comercio al por menor en minisupers
28013,MINISÚPER DON BARATÓN,462112,0 a 5 personas,Aguascalientes,Fijo,Terciario,Comercio al por menor en minisupers
6282263,OXXO SUC. 50PEE-PERALES AGU,462112,6 a 10 personas,Aguascalientes,Fijo,Terciario,Comercio al por menor en minisupers
6282325,OXXO SUC. 50AUA-ABELARDORODRIGUEZAGU,462112,6 a 10 personas,Aguascalientes,Fijo,Terciario,Comercio al por menor en minisupers
6850390,OXXO SUC. 50H9U-CAROLINA VILLANUEVA AGU,462112,6 a 10 personas,Aguascalientes,Fijo,Terciario,Comercio al por menor en minisupers
5688,CENTRO MÉDICO LA SALUD,622111,31 a 50 personas,Aguascalientes,Fijo,Terciario,Hospitales generales del sector privado o público
6282167,STAR MEDICA SA DE CV,622111,101 a 250 personas,Aguascalientes,Fijo,Terciario,Hospitales generales del sector privado o público
10355,CLÍNICA HOSPITAL NÚMERO 2,622112,251 y más personas,Aguascalientes,Fijo,Terciario,Hospitales generales del sector privado o público
34229,CENTRO PEDAGÓGICO INFANTIL SORNISA MÁGICA,624411,0 a 5 personas,Aguascalientes,Fijo,Terciario,Guarderías del sector privado o público
41320,ESTANCIA INFANTIL PEQUEÑOS TRAVIESOS,624411,31 a 50 personas,Aguascalientes,Fijo,Terciario,Guarderías del sector privado o público
6189495,"CENTRO DE DESARROLLO INFANTIL CHISPA, A.C.",624411,11 a 30 personas,Calvillo,Fijo,Terciario,Guarderías del sector privado o público
1819,CENDI OLIVARES SANTANA,624412,31 a 50 personas,Aguascalientes,Fijo,Terciario,Guarderías del sector privado o público
4899,ESTANCIA DE BIENESTAR INFANTIL 21,624412,101 a 250 personas,Aguascalientes,Fijo,Terciario,Guarderías del sector privado o público
9153,CENDI REFORMA,624412,11 a 30 personas,Aguascalientes,Fijo,Terciario,Guarderías del sector privado o público
13347,ESTANCIA DE BIENESTAR INFANTIL ISSSSPEA,624412,51 a 100 personas,Aguascalientes,Fijo,Terciario,Guarderías del sector privado o público
24216,ESTANCIA DE BIENESTAR Y DESARROLLO INFANTIL NÚMERO 102,624412,31 a 50 personas,Aguascalientes,Fijo,Terciario,Guarderías del sector privado o público
6846972,ONE AGUASCALIENTES SUR,721111,0 a 5 personas,Aguascalientes,Fijo,Terciario,Hoteles
5175,BANQUETES LOS PIRULES,722320,6 a 10 personas,Aguascalientes,Fijo,Terciario,Servicios de preparación de alimentos para ocasiones especiales
30783,EVENTOS Y BANQUETES MUROS,722320,0 a 5 personas,Aguascalientes,Fijo,Terciario,Servicios de preparación de alimentos para ocasiones especiales
34907,BANQUETES JOMAR,722320,0 a 5 personas,Aguascalientes,Fijo,Terciario,Servicios de preparación de alimentos para ocasiones especiales
7565,LA CASA ROSA,722511,0 a 5 personas,Aguascalientes,Fijo,Terciario,Restaurantes / servicio de preparación de alimentos / Cafeterías y similares
8225,RESTAURANTE KIMURA,722511,0 a 5 personas,Aguascalientes,Fijo,Terciario,Restaurantes / servicio de preparación de alimentos / Cafeterías y similares
8295,RESTAURANTE CARNITAS MORA,722511,11 a 30 personas,Aguascalientes,Fijo,Terciario,Restaurantes / servicio de preparación de alimentos / Cafeterías y similares
16491,ALMUERZOS Y COMIDAS CONCHITA,722511,0 a 5 personas,Aguascalientes,Fijo,Terciario,Restaurantes / servicio de preparación de alimentos / Cafeterías y similares
27688,RESTAURANTE SHING WANG,722511,0 a 5 personas,Aguascalientes,Fijo,Terciario,Restaurantes / servicio de preparación de alimentos / Cafeterías y similares
1168,CARNITAS SAN PANCHO,722513,11 a 30 personas,Aguascalientes,Fijo,Terciario,Restaurantes / servicio de preparación de alimentos / Cafeterías y similares
1249,BIRRIERÍA LOS PEPES,722513,0 a 5 personas,Aguascalientes,Fijo,Terciario,Restaurantes / servicio de preparación de alimentos / Cafeterías y similares
9013,GORDITAS GABY,722513,0 a 5 personas,Aguascalientes,Semifijo,Terciario,Restaurantes / servicio de preparación de alimentos / Cafeterías y similares
12232,MENUDOS CHELA,722513,0 a 5 personas,Aguascalientes,Fijo,Terciario,Restaurantes / servicio de preparación de alimentos / Cafeterías y similares
34005,BIRRIERÍA DON LENCHO,722513,0 a 5 personas,Aguascalientes,Semifijo,Terciario,Restaurantes / servicio de preparación de alimentos / Cafeterías y similares
937,LONCHERÍA BOULEVARD,722514,0 a 5 personas,Calvillo,Fijo,Terciario,Restaurantes / servicio de preparación de alimentos / Cafeterías y similares
25962,LONCHERÍA Y JUGOS EL PERICO,722514,0 a 5 personas,San Francisco de los Romo,Fijo,Terciario,Restaurantes / servicio de preparación de alimentos / Cafeterías y similares
40833,TACOS DE CANASTA SI SEÑOR,722514,0 a 5 personas,Aguascalientes,Fijo,Terciario,Restaurantes / servicio de preparación de alimentos / Cafeterías y similares
48987,TACOS EL PATRÓN,722514,0 a 5 personas,San Francisco de los Romo,Fijo,Terciario,Restaurantes / servicio de preparación de alimentos / Cafeterías y similares
8221,COFFEE DHAY,722515,0 a 5 personas,Aguascalientes,Fijo,Terciario,Restaurantes / servicio de preparación de alimentos / Cafeterías y similares
25930,JUGOS Y LICUADOS LOS PANCHOS,722515,0 a 5 personas,San Francisco de los Romo,Fijo,Terciario,Restaurantes / servicio de preparación de alimentos / Cafeterías y similares
